domain,pair_index,evaluation_seed,environment_id,baseline_success,final_success,baseline_fell,final_fell,baseline_timed_out,final_timed_out,baseline_return,final_return,baseline_intervention_per_riser,final_intervention_per_riser
target,205,125000001,77,False,False,True,True,False,False,-0.8686802387237549,-1.2091915607452393,2.125,0.5714285969734192
target,206,125000001,78,True,True,False,False,False,False,9.186910629272461,11.23183822631836,0.8888888955116272,0.4444444477558136
target,207,125000001,79,True,True,False,False,False,False,8.419817924499512,10.877090454101562,0.1111111119389534,0.0
target,208,125000001,80,False,True,True,False,False,False,0.5018200874328613,10.562719345092773,1.3333333730697632,0.3333333432674408
target,209,125000001,81,False,True,True,False,False,False,-2.2366650104522705,9.435544967651367,2.75,0.1111111119389534
target,210,125000001,82,True,False,False,True,False,False,9.426652908325195,-0.17388081550598145,0.7777777910232544,0.5555555820465088
target,211,125000001,83,True,True,False,False,False,False,10.129072189331055,10.006305694580078,0.2222222238779068,0.1111111119389534
target,212,125000001,84,True,True,False,False,False,False,10.428821563720703,9.83349323272705,0.6666666865348816,0.1111111119389534
target,213,125000001,85,True,False,False,True,False,False,10.437311172485352,-8.184852600097656,0.0,2.444444417953491
target,214,125000001,86,True,False,False,True,False,False,9.685121536254883,-0.8421902656555176,0.3333333432674408,0.1111111119389534
target,215,125000001,87,True,True,False,False,False,False,9.212471008300781,8.907025337219238,0.4444444477558136,0.0
target,216,125000001,88,True,True,False,False,False,False,9.438068389892578,8.379837036132812,0.1111111119389534,0.1111111119389534
target,217,125000001,89,False,True,True,False,False,False,-1.269038438796997,10.438124656677246,0.2222222238779068,0.4444444477558136
target,218,125000001,90,True,True,False,False,False,False,10.895364761352539,11.52387809753418,0.8888888955116272,0.8888888955116272
target,219,125000001,91,True,True,False,False,False,False,11.319851875305176,10.911468505859375,0.3333333432674408,0.3333333432674408
target,220,125000001,92,False,True,True,False,False,False,-0.7153482437133789,8.197471618652344,0.3333333432674408,0.1111111119389534
target,221,125000001,93,True,False,False,True,False,False,10.908846855163574,0.292543888092041,1.2222222089767456,2.1111111640930176
target,222,125000001,94,True,True,False,False,False,False,9.92372989654541,11.98145866394043,1.3333333730697632,0.8888888955116272
target,223,125000001,95,True,True,False,False,False,False,9.451494216918945,10.33277416229248,0.4444444477558136,0.0
target,224,125000001,96,False,False,True,True,False,False,-0.4681813716888428,0.24023056030273438,3.7142858505249023,0.8888888955116272
target,225,125000001,97,False,False,True,True,False,False,-0.9304409027099609,1.2851176261901855,1.571428656578064,0.8888888955116272
target,226,125000001,98,False,False,True,True,False,False,-2.106171131134033,0.16689395904541016,5.0,5.333333492279053
target,227,125000001,99,True,True,False,False,False,False,8.198433876037598,11.430925369262695,2.222222328186035,0.6666666865348816
target,228,125000001,100,False,True,True,False,False,False,-0.40557408332824707,10.850805282592773,2.1111111640930176,0.2222222238779068
target,229,125000001,101,True,True,False,False,False,False,7.827801704406738,10.791553497314453,0.3333333432674408,1.0
target,230,125000001,102,True,True,False,False,False,False,10.401679992675781,9.394695281982422,0.1111111119389534,0.5555555820465088
target,231,125000001,103,True,True,False,False,False,False,9.70335578918457,9.550592422485352,0.2222222238779068,0.3333333432674408
target,232,125000001,104,True,False,False,True,False,False,8.684823989868164,0.6895170211791992,0.0,1.3333333730697632
target,233,125000001,105,False,False,True,True,False,False,-0.8030872344970703,-1.4997670650482178,1.1111111640930176,2.857142925262451
target,234,125000001,106,False,True,True,False,False,False,-2.3376636505126953,9.47297477722168,1.0,0.0
target,235,125000001,107,True,True,False,False,False,False,8.409463882446289,9.009636878967285,0.2222222238779068,0.2222222238779068
target,236,125000001,108,True,True,False,False,False,False,10.852178573608398,11.363417625427246,1.5555555820465088,1.0
target,237,125000001,109,False,False,True,True,False,False,-0.9732084274291992,-0.12051820755004883,0.5555555820465088,0.8888888955116272
target,238,125000001,110,False,True,True,False,False,False,0.6386218070983887,11.122965812683105,1.3333333730697632,0.8888888955116272
target,239,125000001,111,False,False,True,True,False,False,-2.4595794677734375,-0.3057370185852051,1.3333333730697632,1.1428571939468384
target,240,125000001,112,True,True,False,False,False,False,8.370962142944336,9.363178253173828,0.2222222238779068,0.0
target,241,125000001,113,True,True,False,False,False,False,9.95162582397461,10.981828689575195,1.3333333730697632,1.1111111640930176
target,242,125000001,114,True,True,False,False,False,False,9.635026931762695,11.049732208251953,0.1111111119389534,0.4444444477558136
target,243,125000001,115,True,True,False,False,False,False,12.015727996826172,7.228572845458984,1.3333333730697632,0.7777777910232544
